,author,author_id
218,Alice Sebold,-4478863188450694937
219,Alice Sebold,-4478863188450694937
220,Sharyn McCrumb,-2207869283682713062
221,Dave Shea,4215150394495201945
222,Elizabeth Castro,1553515627792876432
223,Michael Ochs,-4567102007502252790
224,Chuck Klosterman,3738709239235294254
225,Chuck Klosterman,3738709239235294254
226,Jane Feather,-4139964810881601664
227,Robert M. Pirsig,-2613684091976630177
228,Kevin O'Malley,-3757031571660236307
229,Ronald L. DiSanto,-4672636838151794691
230,John Harold Haynes,-5899186517205381644
231,Catharine M. Fishel,-7610363061589717757
232,Leo Tolstoy,-9152604888080968644
233,Leo Tolstoy,-9152604888080968644
234,Leo Tolstoy,-9152604888080968644
235,Ayn Rand,7909660126921869110
236,Ayn Rand,7909660126921869110
237,Ayn Rand,7909660126921869110
238,Ayn Rand,7909660126921869110
239,Ayn Rand,7909660126921869110
240,Ayn Rand,7909660126921869110
241,Ayn Rand,7909660126921869110
242,Ayn Rand,7909660126921869110
243,J.J. Isler,6663512091200248067
244,Colin  Wells,-7243144778393620101
245,Billy Collins,4848206945204517688
246,Christopher Caswell,-4241467920353174470
247,Kevin Trudeau,330088059235201521
248,Bernard Malamud,-1218525569780515344
249,Anne Tyler,-3782022192820694623
250,Gary Colombo,1823635719207640156
251,Thomas E. Skidmore,7685099295684509899
252,Philip Roth,-2687474959275981828
253,Jon   Stewart,-6716516528672689323
254,Gabriel García Márquez,4568644548845534114
255,Gabriel García Márquez,4568644548845534114
256,Gabriel García Márquez,4568644548845534114
257,Gabriel García Márquez,4568644548845534114
258,Gabriel García Márquez,4568644548845534114
259,Gabriel García Márquez,4568644548845534114
260,Brian Greene,-2539482625046176325
261,Upasika Kee Nanayon,-8381994227335580105
262,Rob Humphreys,3615699575692201479
263,Lonely Planet,334628802839083901
264,Lonely Planet,334628802839083901
265,Lonely Planet,334628802839083901
266,H.G. Bissinger,-4494579127927788146
267,Neal Stephenson,-8843292145966957376
268,Neal Stephenson,-8843292145966957376
269,Neal Stephenson,-8843292145966957376
270,Neal Stephenson,-8843292145966957376
271,Neal Stephenson,-8843292145966957376
272,Neal Stephenson,-8843292145966957376
273,Neal Stephenson,-8843292145966957376
274,Neal Stephenson,-8843292145966957376
275,Neal Stephenson,-8843292145966957376
276,Neal Stephenson,-8843292145966957376
277,Dan Harrington,4730167352469439494
278,Dan Harrington,4730167352469439494
279,Donald A. Norman,-8946880448793738346
280,Donald A. Norman,-8946880448793738346
281,Donald A. Norman,-8946880448793738346
282,Alex C. Jones,-7882903360370269246
283,Paulo Coelho,-5268102271760942302
284,Paulo Coelho,-5268102271760942302
285,Hiromu Arakawa,-1816282813857598737
286,Hiromu Arakawa,-1816282813857598737
287,Hiromu Arakawa,-1816282813857598737
288,Hiromu Arakawa,-1816282813857598737
289,Hiromu Arakawa,-1816282813857598737
290,Paulo Coelho,-5268102271760942302
291,Hiromu Arakawa,-1816282813857598737
292,Robert   Harris,-6918133785133965240
293,Edward Bulwer-Lytton,-5783596762272035978
294,John Steinbeck,-6008285400810092710
295,Neil Strauss,-4072462768189890623
296,Ellen Raskin,3404083423984774525
297,Zilpha Keatley Snyder,-3669076912399391855
298,Arthur Golden,-4581930125670832737
299,Arthur Golden,-4581930125670832737
300,Arthur Golden,-4581930125670832737
301,David        James,-3418704824222914192
302,Arthur Golden,-4581930125670832737
303,Mineko Iwasaki,-5894249258968710292
304,J. Torres,-3344567302298851287
305,Margaret Johnson,6633801497862693413
306,Gary Chapman,-1542972471717265557
307,Dan Brown,6753478435197917854
308,Dan Brown,6753478435197917854
309,Dan Brown,6753478435197917854
310,Dan Brown,6753478435197917854
311,Dan Brown,6753478435197917854
312,Dan Brown,6753478435197917854
313,Dan Brown,6753478435197917854
314,Dan Brown,6753478435197917854
315,Dan Brown,6753478435197917854
316,P.J. Parrish,-7209490755103301772
317,Thomas J. Stanley,-2352259650314467379
318,Napoleon Hill,-3341119006788515716
319,Napoleon Hill,-3341119006788515716
320,Mike   Mason,-4819706931541683931
321,Riki Anne Wilchins,2629717088925471864
322,Donald J. Trump,1679109388110455354
323,George S. Clason,8231249117570037776
324,George S. Clason,8231249117570037776
325,Trevanian,6026791207964605185
326,David McCullough,51651438944194875
327,Peter  Stone,7442443086395139811
328,Robert J. Allison,4490692095618475565
329,Pearl S. Buck,3954255014026536554
330,Rick Warren,-6146159544061232725
331,Eric Schlosser,-4616800158408595481
332,Eric Schlosser,-4616800158408595481
333,Lisa See,5313867258376696636
334,John Grisham,364911131522148362
335,Robert A. Caro,5925024880335133008
336,Stephen W. Frey,3754039127963930279
337,Bill Phillips,995216056269013534
338,Pamela Peeke,-7961169411767254907
339,Bill Phillips,995216056269013534
340,Robert G. Hagstrom,4225627032817242396
341,Robert P. Miles,-9115539779765627069
342,Marvin N. Olasky,7677782071734656602
343,Barbara Park,-900502633677719127
344,Sarah Mlynowski,8976085264424494957
345,Michael   Lewis,-8462331984262552569
346,Frank McConnell,-6816869930202480539
347,Ursula Ferrigno,7985639808217477801
348,Giada De Laurentiis,-6382639538035588583
349,Giada De Laurentiis,-6382639538035588583
